HCPCS,MOD,DESCRIPTION,WORK RVU
G4008,,Geriatrics ss,0.00
G4009,,Hospitalists ss,0.00
G4010,,Infectious disease ss,0.00
G4011,,Internal medicine ss,0.00
G4012,,Interventional rad ss,0.00
G4013,,Mntal/behav/psych hlth ss,0.00
G4014,,Nephrology ss,0.00
G4015,,Neurology ss,0.00
G4016,,Neurosurgical ss,0.00
G4017,,Nutrition/dietician ss,0.00
G4018,,Ob/gyn ss,0.00
G4019,,Oncology/hema ss,0.00
G4020,,Ophthalmology/optometry ss,0.00
G4021,,Orthopedic surgery ss,0.00
G4022,,Otolaryngology ss,0.00
G4023,,Pathology ss,0.00
G4024,,Pediatrics ss,0.00
G4025,,Physical medicine ss,0.00
G4026,,Phys/occ therapy ss,0.00
G4027,,Plastic surgery ss,0.00
G4028,,Podiatry ss,0.00
G4029,,Preventive medicine ss,0.00
G4030,,Pulmonology ss,0.00
G4031,,Radiation oncology ss,0.00
G4032,,Rheumatology ss,0.00
G4033,,Skilled nursing facility ss,0.00
G4034,,Speech language path ss,0.00
G4035,,Thoracic surgery ss,0.00
G4036,,Urgent care ss,0.00
G4037,,Urology ss,0.00
G4038,,Vascular surgery ss,0.00
G6001,,Echo guidance radiotherapy,0.58
G6001,TC,Echo guidance radiotherapy,0.00
G6001,26,Echo guidance radiotherapy,0.58
G6002,,Stereoscopic x-ray guidance,0.39
G6002,TC,Stereoscopic x-ray guidance,0.00
G6002,26,Stereoscopic x-ray guidance,0.39
G6003,,Radiation treatment delivery,0.00
G6004,,Radiation treatment delivery,0.00
G6005,,Radiation treatment delivery,0.00
G6006,,Radiation treatment delivery,0.00
G6007,,Radiation treatment delivery,0.00
G6008,,Radiation treatment delivery,0.00
G6009,,Radiation treatment delivery,0.00
G6010,,Radiation treatment delivery,0.00
G6011,,Radiation treatment delivery,0.00
G6012,,Radiation treatment delivery,0.00
G6013,,Radiation treatment delivery,0.00
G6014,,Radiation treatment delivery,0.00
G6015,,Radiation tx delivery imrt,0.00
G6016,,Delivery comp imrt,0.00
G6017,,Intrafraction track motion,0.00
G8395,,Lvef>=40% doc normal or mild,0.00
G8396,,Lvef not performed,0.00
G8397,,Dil macula/fundus exam/w doc,0.00
G8399,,Pt w/dxa results document,0.00
G8400,,Pt w/dxa no results doc,0.00
G8404,,Low extemity neur exam docum,0.00
G8405,,Low extemity neur not perfor,0.00
G8410,,Eval on foot documented,0.00
G8415,,Eval on foot not performed,0.00
G8416,,Pt inelig footwear evaluatio,0.00
G8417,,Calc bmi abv up param f/u,0.00
G8418,,Calc bmi blw low param f/u,0.00
G8419,,Calc bmi out nrm param nof/u,0.00
G8420,,Calc bmi norm parameters,0.00
G8421,,Bmi not calculated,0.00
G8427,,Docrev cur meds by elig clin,0.00
G8428,,Cur meds not document,0.00
G8430,,Doc med rsn no medrec,0.00
G8431,,Pos clin depres scrn f/u doc,0.00
G8432,,"Dep scr not doc, rng",0.00
G8433,,Scr for dep not cpt doc rsn,0.00
G8450,,Beta-bloc rx pt w/abn lvef,0.00
G8451,,Pt w/abn lvef inelig b-bloc,0.00
G8452,,Pt w/abn lvef b-bloc no rx,0.00
G8465,,High risk recurrence pro ca,0.00
G8473,,Ace/arb thxpy rx'd,0.00
G8474,,Ace/arb not rx'd; doc reas,0.00
G8475,,Ace/arb thxpy not rx'd,0.00
G8476,,Bp sys <140 and dias <90,0.00
G8477,,Bp sys>=140 and/or dias >=90,0.00
G8478,,Bp not performed/doc,0.00
G8510,,"Scr dep neg, no plan reqd",0.00
G8511,,"Scr dep pos, no plan doc rng",0.00
G8535,,Eld maltreatment not doc,0.00
G8536,,No doc elder mal scrn,0.00
G8539,,Doc funct and care plan,0.00
G8540,,Foa not doc as being perf,0.00
G8541,,No doc cur funct assess,0.00
G8542,,Doc funct no deficiencies,0.00
G8543,,Cur funct asses; no care pln,0.00
G8559,,Pt ref doc oto eval,0.00
G8560,,Pt hx act drain prev 90 days,0.00
G8561,,Pt inelig for ref oto eval,0.00
G8562,,Pt no hx act drain 90 d,0.00
G8563,,Pt no ref oto reas no spec,0.00
G8564,,Pt ref oto eval,0.00
G8565,,Ver doc hear loss,0.00
G8566,,Pt inelig ref oto eval,0.00
G8567,,Pt no doc hear loss,0.00
G8568,,Pt no ref otolo no spec,0.00
G8569,,Prol intubation req,0.00
G8570,,No prol intub req,0.00
G8575,,Postop ren fail,0.00
G8576,,No postop ren fail,0.00
G8577,,Reop req bld grft oth,0.00
G8578,,No reop req bld grft oth,0.00
G8598,,Asa/antiplat ther used,0.00
G8599,,No asa/antiplat ther use rng,0.00
G8600,,Tpa initi w/in 4.5 hr,0.00
G8601,,No elig tpa init w/in 4.5 hr,0.00
G8602,,No tpa init w/in 4.5 hr,0.00
G8633,,Pharm ther osteo rx,0.00
G8635,,No pharm ther osteo rx,0.00
G8647,,Rafscrs ki scor >= 0,0.00
G8648,,Rafscrs ki scor < 0,0.00
G8650,,Rafs crs ki no scor no rsn,0.00
G8651,,Rafscrs hi scor >=0,0.00
G8652,,Rafscrs hi scor < 0,0.00
G8654,,Rafs crs hi no scor no surv,0.00
G8655,,Rafscrs llfai scor >= 0,0.00
G8656,,Rafscrs llfai scor < 0,0.00
G8658,,Rafscrs llfai no scor + surv,0.00
G8659,,Rafscrs lbi scor >= 0,0.00
G8660,,Rafscrs lbi scor < 0,0.00
G8661,,Rafscrs lbi no scor,0.00
G8662,,Rafs crs lbi no scor no surv,0.00
G8663,,Rafscrs si scor >= 0,0.00
G8664,,Rafscrs si scor < 0,0.00
G8666,,Rafs crs si no scor no surv,0.00
G8667,,Rafscrs ewh scor >= 0,0.00
G8668,,Rafscrs ewh scor < 0,0.00
G8670,,Rafs crs ewh no scor no surv,0.00
G8694,,Lvef <=40%,0.00
G8708,,Antibiotic not pres,0.00
G8709,,Uri ep compete diag,0.00
G8710,,Pt pres antibiotic,0.00
G8711,,Pres antibx on/within 3 day,0.00
G8712,,Not pres antibiotic,0.00
G8721,,"Pt, pn, hist grade doc",0.00
G8722,,"Med reas pt, pn, not doc",0.00
G8723,,Spec sit not prim tumor,0.00
G8724,,"Pt, pn, hist grade not doc",0.00
G8733,,Doc pos elder mal scrn plan,0.00
G8734,,Doc neg eld req,0.00
G8735,,Eld mal scrn pos no plan,0.00
G8749,,No signs melanoma,0.00
G8752,,Sys bp less 140,0.00
G8753,,Sys bp > or = 140,0.00
G8754,,Dias bp less 90,0.00
G8755,,Dias bp > or = 90,0.00
G8756,,No bp measure doc,0.00
G8783,,Bp scrn perf rec interval,0.00
G8785,,Bp scrn no perf at interval,0.00
G8797,,Specimen site not esophagus,0.00
G8798,,Specimen site not prostate,0.00
G8806,,Perf ultrsnd to lct preg doc,0.00
G8807,,No ta tv ultrasnd,0.00
G8808,,"Ultrasound not perf, rng",0.00
G8815,,Doc reas no statin therapy,0.00
G8816,,Statin med pres at disch,0.00
G8817,,Doc reas no statin med disch,0.00
G8826,,Pt disch home day #2 evar,0.00
G8833,,Pt not disch home day#2 evar,0.00
G8834,,Pt disch home day #2 cea,0.00
G8838,,Not disch home by day #2,0.00
G8839,,Sleep apnea assess,0.00
G8840,,Doc reas no sleep apnea,0.00
G8841,,No sleep apnea assess,0.00
G8842,,Ahi rdi rei doc win 2mo,0.00
G8843,,Doc reas no ahi rdi rei,0.00
G8844,,No ahi rdi rei ini dx no rsn,0.00
G8845,,Pos airway press prescribed,0.00
G8846,,Mod or severe osa,0.00
G8849,,Doc reas no pos air press,0.00
G8850,,No pap prescribed,0.00
G8851,,Adhere tx assess at lst ann,0.00
G8854,,Reas no adhere therapy,0.00
G8855,,Ther not assessed annually,0.00
G8856,,Ref for oto eval,0.00
G8857,,No elig ref for oto eval,0.00
G8858,,Not ref for oto eval,0.00
G8863,,No assess bone loss,0.00
G8864,,Pneumococcal vaccine admin,0.00
G8865,,Doc med reas no pneumococcal,0.00
G8866,,Doc pt reas no pneumococcal,0.00
G8867,,No pneumococcal admin,0.00
G8869,,Doc immune hep b antitnf,0.00
G8875,,Breast cancer dx min invsive,0.00
G8876,,Doc reas no min inv dx,0.00
G8877,,No brst cncr dx min invasive,0.00
G8878,,Sent lymph node biopsy,0.00
G8880,,Sen lym p node biop not perf,0.00
G8881,,Brst cncr stage > t1n0m0,0.00
G8882,,No sent lymph node biopsy,0.00
G8907,,Pt doc no events on discharg,0.00
G8908,,Pt doc w burn prior to d/c,0.00
G8909,,Pt doc no burn prior to d/c,0.00
G8910,,Pt doc to have fall in asc,0.00
G8911,,Pt doc no fall in asc,0.00
G8912,,Pt doc with wrong event,0.00
G8913,,Pt doc no wrong event,0.00
G8914,,Pt trans to hosp post d/c,0.00
G8915,,Pt not trans to hosp at d/c,0.00
G8916,,Pt w iv ab given on time,0.00
G8917,,Pt w iv ab not given on time,0.00
G8918,,Pt w/o preop order iv ab pro,0.00
G8923,,Lvef <= 40% or lvsd,0.00
G8924,,Spir res doc fev1/fvc<70%,0.00
G8934,,Lvef <=40% or dep lv sys fcn,0.00
G8935,,Rx ace or arb therapy,0.00
G8936,,Pt not eligible ace/arb,0.00
G8937,,No rx ace/arb therapy,0.00
G8942,,Doc fcn/care plan w/30 days,0.00
G8944,,Ajcc mel cnr stg 0 - iic,0.00
G8946,,Mibm but no dx of breast ca,0.00
G8950,,"Pre-htn or htn doc, f/u indc",0.00
G8952,,"Pre-htn/htn, no f/u, not gvn",0.00
G8955,,Most recent assess vol mgmt,0.00
G8956,,Pt rcv hedia outpt dyls fac,0.00
G8958,,Assess vol mgmt not doc,0.00
G8961,,Csit lowrisk surg pts preop,0.00
G8962,,Csit on pt any reas 30 days,0.00
G8967,,Warf or other fda drug presc,0.00
G8968,,Doc med not presb,0.00
G8969,,Doc pt rsn no presc warf/fda,0.00
G8970,,No rsk fac or 1 mod risk te,0.00
G9001,,"Mccd, initial rate",0.00
G9002,,"Mccd,maintenance rate",0.00
G9003,,"Mccd, risk adj hi, initial",0.00
G9004,,"Mccd, risk adj lo, initial",0.00
G9005,,"Mccd, risk adj, maintenance",0.00
G9006,,"Mccd, home monitoring",0.00
G9007,,"Mccd, sch team conf",0.00
G9008,,"Mccd,phys coor-care ovrsght",0.00
G9009,,"Mccd, risk adj, level 3",0.00
G9010,,"Mccd, risk adj, level 4",0.00
G9011,,"Mccd, risk adj, level 5",0.00
G9012,,Other specified case mgmt,0.00
G9013,,Esrd demo bundle level i,0.00
G9014,,Esrd demo bundle-level ii,0.00
G9016,,Demo-smoking cessation coun,0.00
G9037,,Intrpro req fr rec phys/qhcp,0.57
G9038,,Co-management services,0.71
G9050,,Oncology work-up evaluation,0.00
G9051,,Oncology tx decision-mgmt,0.00
G9052,,Onc surveillance for disease,0.00
G9053,,Onc expectant management pt,0.00
G9054,,Onc supervision palliative,0.00
G9055,,Onc visit unspecified nos,0.00
G9056,,Onc prac mgmt adheres guide,0.00
G9057,,Onc pract mgmt differs trial,0.00
G9058,,Onc prac mgmt disagree w/gui,0.00
G9059,,Onc prac mgmt pt opt alterna,0.00
G9060,,Onc prac mgmt dif pt comorb,0.00
G9061,,Onc prac cond noadd by guide,0.00
G9062,,Onc prac guide differs nos,0.00
G9063,,Onc dx nsclc stgi no progres,0.00
G9064,,Onc dx nsclc stg2 no progres,0.00
G9065,,Onc dx nsclc stg3a no progre,0.00
G9066,,Onc dx nsclc stg3b-4 metasta,0.00
G9067,,Onc dx nsclc dx unknown nos,0.00
G9068,,Onc dx sclc/nsclc limited,0.00
G9069,,Onc dx sclc/nsclc ext at dx,0.00
G9070,,Onc dx sclc/nsclc ext unknwn,0.00
G9071,,"Onc dx brst stg1-2b hr,nopro",0.00
G9072,,Onc dx brst stg1-2 noprogres,0.00
G9073,,"Onc dx brst stg3-hr, no pro",0.00
G9074,,Onc dx brst stg3-noprogress,0.00
G9075,,Onc dx brst metastic/ recur,0.00
G9077,,Onc dx prostate t1no progres,0.00
G9078,,Onc dx prostate t2no progres,0.00
G9079,,Onc dx prostate t3b-t4noprog,0.00
G9080,,Onc dx prostate w/rise psa,0.00
G9083,,Onc dx prostate unknwn nos,0.00
G9084,,"Onc dx colon t1-3,n1-2,no pr",0.00
G9085,,"Onc dx colon t4, n0 w/o prog",0.00
G9086,,Onc dx colon t1-4 no dx prog,0.00
G9087,,Onc dx colon metas evid dx,0.00
G9088,,Onc dx colon metas noevid dx,0.00
G9089,,Onc dx colon extent unknown,0.00
G9090,,Onc dx rectal t1-2 no progr,0.00
G9091,,Onc dx rectal t3 n0 no prog,0.00
G9092,,"Onc dx rectal t1-3,n1-2noprg",0.00
G9093,,"Onc dx rectal t4,n,m0 no prg",0.00
G9094,,Onc dx rectal m1 w/mets prog,0.00
G9095,,Onc dx rectal extent unknwn,0.00
G9096,,Onc dx esophag t1-t3 noprog,0.00
G9097,,Onc dx esophageal t4 no prog,0.00
G9098,,Onc dx esophageal mets recur,0.00
G9099,,Onc dx esophageal unknown,0.00
G9100,,Onc dx gastric no recurrence,0.00
G9101,,Onc dx gastric p r1-r2noprog,0.00
G9102,,Onc dx gastric unresectable,0.00
G9103,,Onc dx gastric recurrent,0.00
G9104,,Onc dx gastric unknown nos,0.00
G9105,,Onc dx pancreatc p r0 res no,0.00
G9106,,Onc dx pancreatc p r1/r2 no,0.00
G9107,,Onc dx pancreatic unresectab,0.00
G9108,,Onc dx pancreatic unknwn nos,0.00
G9109,,Onc dx head/neck t1-t2no prg,0.00
G9110,,Onc dx head/neck t3-4 noprog,0.00
G9111,,Onc dx head/neck m1 mets rec,0.00
G9112,,Onc dx head/neck ext unknown,0.00
G9113,,Onc dx ovarian stg1a-b no pr,0.00
G9114,,Onc dx ovarian stg1a-b or 2,0.00
G9115,,Onc dx ovarian stg3/4 noprog,0.00
G9116,,Onc dx ovarian recurrence,0.00
G9117,,Onc dx ovarian unknown nos,0.00
G9123,,Onc dx cml chronic phase,0.00
G9124,,Onc dx cml acceler phase,0.00
G9125,,Onc dx cml blast phase,0.00
G9126,,Onc dx cml remission,0.00
G9128,,Onc dx multi myeloma stage i,0.00
G9129,,Onc dx mult myeloma stg2 hig,0.00
G9130,,Onc dx multi myeloma unknown,0.00
G9131,,Onc dx brst unknown nos,0.00
G9132,,Onc dx prostate mets no cast,0.00
G9133,,Onc dx prostate clinical met,0.00
G9134,,Onc nhlstg 1-2 no relap no,0.00
G9135,,Onc dx nhl stg 3-4 not relap,0.00
G9136,,Onc dx nhl trans to lg bcell,0.00
G9137,,Onc dx nhl relapse/refractor,0.00
G9138,,Onc dx nhl stg unknown,0.00
G9139,,Onc dx cml dx status unknown,0.00
G9140,,Frontier extended stay demo,0.00
G9143,,Warfarin respon genetic test,0.00
G9147,,Outpt iv insulin tx any mea,0.00
G9148,,Medical home level 1,0.00
G9149,,Medical home level ii,0.00
G9150,,Medical home level iii,0.00
G9151,,Mapcp demo state,0.00
G9152,,Mapcp demo community,0.00
G9153,,Mapcp demo physician,0.00
G9156,,Evaluation for wheelchair,0.00
G9157,,Transesoph doppl cardiac mon,2.20
G9187,,Bpci home visit,0.18
G9188,,Beta not given no reason,0.00
G9189,,Beta pres or already taking,0.00
G9190,,Medical reason for no beta,0.00
G9191,,Pt reason for no beta,0.00
G9212,,Doc of dsm-iv init eval,0.00
G9213,,No doc of dsm-iv,0.00
G9223,,Pjp proph ordered cd4 low,0.00
G9225,,Norsn no foot exam,0.00
G9226,,3 comp foot exam completed,0.00
G9227,,"Foa doc, care plan not doc",0.00
G9228,,Gc chl syp documented,0.00
G9230,,Norsn for gc chl syp test,0.00
G9231,,Doc esrd dia trans preg,0.00
G9242,,Doc viral load >=200,0.00
G9243,,Doc viral load <200,0.00
G9246,,No enc or enc/vir ld 90days,0.00
G9247,,2 enc enc/vir ld 90d,0.00
G9254,,Doc pt dischg >2d,0.00
G9255,,Pt dc home 2nd po day,0.00
G9273,,Sys<140 and dia<90,0.00
G9274,,Bp out of nrml limits,0.00
G9275,,Doc of non tobacco user,0.00
G9276,,Doc of tobacco user,0.00
G9277,,Doc daily aspirin or contra,0.00
G9278,,Doc no daily aspirin,0.00
G9279,,Pne scrn done doc vac done,0.00
G9280,,Pne not given norsn,0.00
G9281,,Pne scrn done doc not ind,0.00
G9282,,Doc medrsn no histo type,0.00
G9283,,Hist type doc on report,0.00
G9284,,No hist type doc on report,0.00
G9285,,Site not small cell lung ca,0.00
G9286,,Antibio rx w in 10d of sympt,0.00
G9287,,No antibio w in 10d of sympt,0.00
G9288,,Doc medrsn no hist type rpt,0.00
G9289,,Doc type nsm lung ca,0.00
G9290,,No doc type nsm lung ca,0.00
G9291,,Not nsm lung ca,0.00
G9292,,Medrsn no pt category,0.00
G9293,,No pt category on report,0.00
G9294,,Pt cat and thck on report,0.00
G9295,,Non cutaneous loc,0.00
G9296,,Doc share dec prior proc,0.00
G9297,,No doc share dec prior proc,0.00
G9298,,Eval risk vte card 30d prior,0.00
G9299,,No eval risk vte card prior,0.00
G9305,,No interv req for leak,0.00
G9306,,Interv req for leak,0.00
G9307,,No ret for surg w in 30d,0.00
G9308,,Unpl ret or w/compl w/in 30d,0.00
G9309,,No unplnd hosp readm in 30d,0.00
G9310,,Unplnd hosp readm in 30d,0.00
G9311,,No surg site infection,0.00
G9312,,Surgical site infection,0.00
G9313,,Amoxic not presc as 1st line,0.00
G9314,,Norsn not first line amox,0.00
G9315,,Amox w/wo clav rx,0.00
G9316,,Doc comm risk calc,0.00
G9317,,No doc comm risk calc,0.00
G9318,,Image std nomenclature,0.00
G9319,,Image not std nomenclature,0.00
G9321,,Prev ct nuc med cnt doc 12mo,0.00
G9322,,No cnt ct nuc med doc 12mo,0.00
G9341,,Srch for ct w in 12 mos,0.00
G9342,,No srch for ct in 12mo norsn,0.00
G9344,,Sysrsn no dicom srch,0.00
G9345,,Follow up pulm nod,0.00
G9347,,No follow up pulm nod norsn,0.00
G9351,,Doc >1 sinus ct w 90d dx,0.00
G9352,,Not >1 sinus ct w 90d dx,0.00
G9353,,Medrsn >1 sinus ct w 90d dx,0.00
G9354,,1 or no ct sinus w/in 90d dx,0.00
G9355,,No early ind/delivery,0.00
G9356,,Early ind/delivery,0.00
G9357,,Pp eval/edu perf,0.00
G9358,,Pp eval/edu not perf,0.00
G9361,,Doc rsn elect c-sec/induct,0.00
G9364,,Sinus caus bac inx,0.00
G9367,,>= 2 same hi-rsk med ord,0.00
G9368,,>= 2 same hi-rsk med not ord,0.00
G9380,,Off assis eol iss,0.00
G9382,,No off assis eol,0.00
G9383,,Recd scrn hcv infec,0.00
G9384,,Doc med rsn no hcv scrn,0.00
G9385,,Doc pt reas not rec hcv srn,0.00
G9386,,Scrn hcv infec not recd,0.00
G9393,,Ini phq9 >9 remiss <5,0.00
G9394,,"Dx bipol, death, nhres, hosp",0.00
G9395,,Ini phq9 >9 no remiss >=5,0.00
G9396,,Ini phq9 >9 not assess,0.00
G9408,,Card tamp w/in 30d,0.00
G9409,,No card tamp e/in 30d,0.00
G9410,,Admit w/in 180d req remov,0.00
G9411,,No admit w/in 180d req remov,0.00
G9412,,Admit w/in 180d req surg rev,0.00
G9413,,No admit req surg rev,0.00
G9414,,1dose menig vac btwn 11 & 13,0.00
G9415,,No 1dose meni vac btwn 11&13,0.00
G9416,,Pt 1 tdap betw 10-13 yrs,0.00
G9417,,Pt not 1 tdap betw 10-13 yrs,0.00
G9418,,Lungcx bx rpt docs class,0.00
G9419,,Med reas not incl histo type,0.00
G9420,,Spec site no lung,0.00
G9421,,Lung cx bx rpt no doc class,0.00
G9422,,Rpt doc class histo type,0.00
G9423,,Med reas rpt no histo type,0.00
G9424,,Site no lung or lung cx,0.00
G9425,,Spec rpt no doc class histo,0.00
G9426,,Impr med time edarr pain med,0.00
G9427,,No impro med time pain med,0.00
G9428,,Patho rpt incl pt ctg,0.00
G9429,,Doc med rsn no pt cat,0.00
G9430,,Spec site no cutaneous,0.00
G9431,,Patho rpt no pt ctg,0.00
G9432,,Asth controlled,0.00
G9434,,Asth not controlled,0.00
G9452,,Doc med reas no hcv test,0.00
G9455,,"Abd imag w/us, ct or mri",0.00
G9456,,Doc med pt reas no hcc scrn,0.00
G9457,,Pt no abd img no doc rsn,0.00
G9468,,No recd cortico>=10mg/d >60d,0.00
G9470,,No rec cortico>60d 1rx 600mg,0.00
G9471,,W/in 2yr dxa not order,0.00
G9473,,Chap services at hospice,0.00
G9474,,Diet counsel at hospice,0.00
G9475,,Other counselor at hospice,0.00
G9476,,Volun service at hospice,0.00
G9477,,Care coord at hospice,0.00
G9478,,Othe therapist at hospice,0.00
G9479,,Pharmacist at hospice,0.00
G9480,,Admission to mccm,0.00
G9481,,Remote e/m new pt 10mins,0.48
G9482,,Remote e/m new pt 20mins,0.93
G9483,,Remote e/m new pt 30mins,1.42
G9484,,Remote e/m new pt 45mins,2.43
G9485,,Remote e/m new pt 60mins,3.17
G9486,,Remote e/m est. pt 10mins,0.48
G9487,,Remote e/m est. pt 15mins,0.97
G9488,,Remote e/m est. pt 25mins,1.50
G9489,,Remote e/m est. pt 40mins,2.11
G9490,,Cmmi mod home visit,0.18
G9497,,Rec inst no smoke day surg,0.00
G9498,,Abx reg prescribed,0.00
G9500,,Rad expos ind/exp tm doc,0.00
G9501,,Rad expos ind/exp tm no doc,0.00
G9502,,Med reas no perf foot exam,0.00
G9504,,Doc rsn hep b stat not asses,0.00
G9505,,Abx pres w/in 10 dys of symp,0.00
G9507,,Doc reas on statin or contra,0.00
G9508,,Doc pt not on statin,0.00
G9509,,Adit mdd dys rem 12 mnths,0.00
G9510,,Remis12m not phq-9 score <5,0.00
G9511,,Idx evt dte phq>9 doc 12 mo,0.00
G9512,,Indiv pdc > 0.8,0.00
G9513,,Indiv pdc not > 0.8,0.00
G9514,,Req ret or w/in 90d of surg,0.00
G9515,,"No reas, no ret or w/in 90d",0.00
G9516,,Impr vis acuit w/in 90d,0.00
G9517,,No impr vis acuit w/in 90d,0.00
G9518,,Doc active inj drug use,0.00
G9519,,Final ref +/- 1.0 w/in 90d,0.00
G9520,,Refract not +/- 1.0 w/in 90d,0.00
G9521,,Er and ip hosp <2 in 12 mos,0.00
G9522,,Er/ip hosp =/>2 in 12 mos,0.00
G9529,,Minor blunt trauma w/head ct,0.00
G9530,,Pt mbht hd ct ord ec prov,0.00
G9531,,Pt doc,0.00
G9533,,Indic for head ct not valid,0.00
G9537,,Img hd clin trial,0.00
G9539,,Intent pot remv time placemt,0.00
G9540,,Pt alive 3 mos post proc,0.00
G9541,,Filter rem 3 mon plmt,0.00
G9542,,Doc reass appr remo filt 3ms,0.00
G9543,,Doc 2x re-assess filt remov,0.00
G9544,,No filt remov w/in 3mos plcm,0.00
G9547,,Cys ren les or adren,0.00
G9548,,No f/u rec image study,0.00
G9549,,Doc med rsn for f/u imag,0.00
G9550,,Imag rec,0.00
G9551,,Imag no les,0.00
G9552,,Inc thyr node <1.0 in rpt,0.00
G9553,,Prior thyroid dise dx,0.00
G9554,,Ct/cta/mri/a chst foll rec,0.00
G9555,,Doc med rsn for follup image,0.00
G9556,,Ct/cta/mri/a no follup imag,0.00
G9557,,Ct/cta/mri/a no thyr <1.0cm,0.00
G9580,,Door to punc time <2hrs,0.00
G9582,,"Door to punc time >2hr, nrg",0.00
G9593,,Low pecarn ped head trauma,0.00
G9594,,Pt mbht hd ct ord ec prov,0.00
G9595,,Doc shnt/tum/coag,0.00
G9597,,No low pecarn ped head traum,0.00
G9598,,Aor ane 5.5-5.9 cm max diam,0.00
G9599,,Aor ane >=6.0 cm max diam,0.00
G9603,,Pt surv improv bsline tx,0.00
G9604,,Pt surv results not avail,0.00
G9605,,Surv score no improv w/tx,0.00
G9606,,Intraop cyst eval trac inj,0.00
G9607,,Doc med rsn not perf cystosc,0.00
G9608,,Intraop cyst eval not done,0.00
G9609,,Doc order anti-plat,0.00
G9610,,Doc md rsn no antipla,0.00
G9611,,No doc order anti-plat rng,0.00
G9621,,Scr unheal etoh w/counsel,0.00
G9622,,No unheal etoh user,0.00
G9624,,Pt not scrn or no counseling,0.00
G9625,,Pt bl srg 30 day pst srg,0.00
G9626,,Med rsn no rpt bladder inj,0.00
G9627,,Pt no bl srg 30 day pst srg,0.00
G9628,,Pt bwli srg 30 day pst srg,0.00
G9629,,Med rsn no rpt bowel inj,0.00
G9630,,Pt no bwli srg 30 day srg,0.00
G9637,,Doc >1 dose reduc tech,0.00
G9638,,No doc >1 dose reduc tech,0.00
G9642,,Current smoker,0.00
G9643,,Elective surgery,0.00
G9644,,No smok b/4 anes day of surg,0.00
G9645,,Had smoke b/4 anes day surg,0.00
G9646,,Pt w/90d mrs 0-2,0.00
G9648,,Pt w/90d mrs >2,0.00
G9649,,Psor as doc spc bm,0.00
G9651,,Psor as doc no spc bm,0.00
G9654,,Mon anesth care,0.00
G9655,,Toc tool incl key elem,0.00
G9656,,Pt trans from anest to pacu,0.00
G9658,,Toc tool incl elem not used,0.00
G9659,,>=86y scr colo nomed rsn,0.00
G9660,,Doc med rsn colo pt >= 86y,0.00
G9661,,Pt >= 86  w/ hi risk,0.00
G9662,,Prior dx/active clin ascvd,0.00
G9663,,Fast/dir ldl >= 190 mg/dl,0.00
G9664,,Taking statin or rec'd order,0.00
G9665,,No statin/no order statin,0.00
G9674,,Pt w/clin ascvd dx,0.00
G9675,,Pt w/fast/dir lab ldl-c >190,0.00
G9676,,40-75y w/type 1/2 w/ldl-c rs,0.00
G9679,,Acute care pneumonia,0.00
G9680,,Acute care congestive heart,0.00
G9681,,Acute care chronic obstruct,0.00
G9682,,Acute care skin infection,0.00
G9683,,Acute fluid/electro disorder,0.00
G9684,,Acute care urinary tract inf,0.00
G9685,,Acute nursing facility care,3.86
G9687,,Hospice anytime msmt per,0.00
G9688,,Pt w/hosp anytime msmt per,0.00
G9689,,Inpt elect carotid intervent,0.00
G9690,,Pt in hos,0.00
G9691,,Pt hosp dur msmt period,0.00
G9692,,Hosp recd by pt dur msmt per,0.00
G9693,,Pt use hosp during msmt per,0.00
G9694,,Hosp srv used pt in msmt per,0.00
G9695,,Long act inhal bronchdil pre,0.00
G9696,,Med rsn no presc bronchdil,0.00
G9698,,Sys rsn no presc bronchdil,0.00
G9699,,Long inhal bronchdil no pres,0.00
G9700,,Pt is w/hosp during msmt per,0.00
G9702,,Pt use hosp during msmt per,0.00
G9703,,Anbx 30 prior to episode,0.00
G9704,,Ajcc br ca stg i: t1 mic/t1a,0.00
G9705,,Ajcc br ca stg ib,0.00
G9706,,Low recur prost ca,0.00
G9708,,Bilat mast/hx bi /unilat mas,0.00
G9709,,Hosp srv used pt in msmt per,0.00
G9710,,Pt prov hosp srv msmt per,0.00
G9711,,Pt hx tot col or colon ca,0.00
G9712,,Doc med rsn presc anbx,0.00
G9713,,Pt use hosp during msmt per,0.00
G9714,,Pt is w/hosp during msmt per,0.00
G9716,,Bmi doc onl fup not cmpltd,0.00
G9717,,Doc pt dx bipol,0.00
G9719,,Pt not ambul/immob/wc,0.00
G9720,,Hospice anytime msmt per,0.00
G9721,,Pt not ambul/immob/wc,0.00
G9722,,Doc hx renal fail or cr+ >=4,0.00
G9723,,Hosp recd by pt dur msmt per,0.00
G9724,,Pt w/doc use anticoag mst yr,0.00
G9726,,Refused to participate,0.00
G9727,,Pt unable cmplt lepf prom,0.00
G9728,,Refused to participate,0.00
G9729,,Pt unbl cmplt lepf prom,0.00
G9730,,Refused to participate,0.00
G9731,,Pt unbl cmplt lepf prom,0.00
G9732,,Refused to participate,0.00
G9733,,Pt unbl cmplt lb fs prom,0.00
G9734,,Refused to participate,0.00
G9735,,Pt unbl cmplt shld fs prom,0.00
G9736,,Refused to participate,0.00
G9737,,Pt unbl cmplt ewh fs prom,0.00
G9740,,Hosp srv to pt dur msmt per,0.00
G9741,,Pt w/hosp anytime msmt per,0.00
